date,v,ma,std,zscore,pos
"2024-07-22, 05:00:00",1541433.20670226,,,,0
"2024-07-22, 06:00:00",1541438.07258208,,,,0
"2024-07-22, 07:00:00",1541375.31566844,,,,0
"2024-07-22, 08:00:00",1542314.4863463,,,,0
"2024-07-22, 09:00:00",1542511.70017383,,,,0
"2024-07-22, 10:00:00",1542421.78053183,,,,0
"2024-07-22, 11:00:00",1542759.23557642,,,,0
"2024-07-22, 12:00:00",1542929.51557076,,,,0
"2024-07-22, 13:00:00",1542957.0809797,,,,0
"2024-07-22, 14:00:00",1543165.43988898,,,,0
"2024-07-22, 15:00:00",1543182.73588583,,,,0
"2024-07-22, 16:00:00",1543258.38507651,,,,0
"2024-07-22, 17:00:00",1543311.93290312,,,,0
"2024-07-22, 18:00:00",1543413.82452404,,,,0
"2024-07-22, 19:00:00",1543150.27426532,,,,0
"2024-07-22, 20:00:00",1542935.02460619,,,,0
"2024-07-22, 21:00:00",1542896.86134371,,,,0
"2024-07-22, 22:00:00",1542931.08759731,,,,0
"2024-07-22, 23:00:00",1633624.28781151,,,,0
"2024-07-23, 00:00:00",1633566.29729774,,,,0
"2024-07-23, 01:00:00",1633583.94923701,,,,0
"2024-07-23, 02:00:00",1633578.92070531,,,,0
"2024-07-23, 03:00:00",1633470.53202951,,,,0
"2024-07-23, 04:00:00",1633184.19112057,,,,0
"2024-07-23, 05:00:00",1633258.56677296,,,,0
"2024-07-23, 06:00:00",1632849.24228627,,,,0
"2024-07-23, 07:00:00",1632875.65133975,,,,0
"2024-07-23, 08:00:00",1632549.47569011,,,,0
"2024-07-23, 09:00:00",1632541.77827196,,,,0
"2024-07-23, 10:00:00",1632515.32440454,,,,0
"2024-07-23, 11:00:00",1632400.21065504,,,,0
"2024-07-23, 12:00:00",1632383.43160805,,,,0
"2024-07-23, 13:00:00",1632369.91529515,,,,0
"2024-07-23, 14:00:00",1629083.93150483,,,,0
"2024-07-23, 15:00:00",1628783.96621709,,,,0
"2024-07-23, 16:00:00",1628787.78346794,,,,0
"2024-07-23, 17:00:00",1628725.98113304,,,,0
"2024-07-23, 18:00:00",1628856.05788434,,,,0
"2024-07-23, 19:00:00",1628866.48481291,,,,0
"2024-07-23, 20:00:00",1628739.10634605,,,,0
"2024-07-23, 21:00:00",1628670.89049753,,,,0
"2024-07-23, 22:00:00",1628812.23875414,,,,0
